open_time,open,high,low,close,volume,trade_count
2026-01-02T12:40:00Z,62127.96738609,62161.89769828,62103.07854751,62137.00523909,286.11246226,28
2026-01-02T12:41:00Z,62137.00523909,62154.28171668,62102.78969896,62120.06146553,362.93431372,36
2026-01-02T12:42:00Z,62120.06146553,62131.68239787,62071.70271248,62083.31677092,819.87263651,81
2026-01-02T12:43:00Z,62083.31677092,62116.52543495,62032.37358622,62065.57275890,353.52520031,35
2026-01-02T12:44:00Z,62065.57275890,62105.94547160,62038.61497803,62078.98186657,350.28313367,35
2026-01-02T12:45:00Z,62078.98186657,62119.20393829,62028.31909460,62068.53439721,227.85209630,22
2026-01-02T12:46:00Z,62068.53439721,62069.76013512,62053.31854245,62054.54400407,390.91586560,39
2026-01-02T12:47:00Z,62054.54400407,62091.70361270,62002.38888361,62039.53950722,515.22859319,51
2026-01-02T12:48:00Z,62039.53950722,62055.76020707,61972.54197093,61988.74939133,1041.31292412,104
2026-01-02T12:49:00Z,61988.74939133,62004.52214985,61981.61385148,61997.38561588,117.67813449,11
2026-01-02T12:50:00Z,61997.38561588,62023.69618153,61969.68306770,61995.99304237,26.03495260,2
2026-01-02T12:51:00Z,61995.99304237,62037.19512682,61954.43058768,61995.63243248,119.29930569,11
2026-01-02T12:52:00Z,61995.63243248,61997.85675442,61989.32381505,61991.54799045,118.32731640,11
2026-01-02T12:53:00Z,61991.54799045,62009.20510759,61964.04453419,61981.69884599,494.64857229,49
2026-01-02T12:54:00Z,61981.69884599,61995.40085497,61922.30383090,61935.99573650,511.60897200,51
2026-01-02T12:55:00Z,61935.99573650,61962.35315286,61896.39890518,61922.75068498,224.54141511,22
2026-01-02T12:56:00Z,61922.75068498,61938.65377114,61862.82500748,61878.71678478,193.43602245,19
2026-01-02T12:57:00Z,61878.71678478,61886.62073969,61865.03159355,61872.93480991,178.99415884,17
2026-01-02T12:58:00Z,61872.93480991,61904.90218011,61854.75376422,61886.71708456,277.47352927,27
2026-01-02T12:59:00Z,61886.71708456,61912.82236406,61868.55954060,61894.66248891,359.02117953,35
2026-01-02T13:00:00Z,61894.66248891,61896.74781956,61863.23781950,61865.32216162,85.93258316,8
2026-01-02T13:01:00Z,61865.32216162,61913.06564741,61845.81907720,61893.55366298,173.69745468,17
2026-01-02T13:02:00Z,61893.55366298,61944.86477570,61849.54816920,61900.85409141,183.58562505,18
2026-01-02T13:03:00Z,61900.85409141,61931.34563610,61897.27154220,61927.76152961,738.80237053,73
2026-01-02T13:04:00Z,61927.76152961,61977.69701576,61912.80288014,61962.72991967,173.30774230,17
2026-01-02T13:05:00Z,61962.72991967,61998.43538383,61952.79719990,61988.49853331,810.58021100,81
2026-01-02T13:06:00Z,61988.49853331,62002.33591044,61949.82118926,61963.65302025,553.86548679,55
2026-01-02T13:07:00Z,61963.65302025,61994.06994545,61935.02667748,61965.44277584,257.61242574,25
2026-01-02T13:08:00Z,61965.44277584,61977.83765072,61962.18458085,61974.57897534,227.35453315,22
2026-01-02T13:09:00Z,61974.57897534,61992.61739562,61970.54424527,61988.58175393,261.45463439,26
2026-01-02T13:10:00Z,61988.58175393,62030.75027515,61967.37488421,62009.53623670,630.04900058,63
2026-01-02T13:11:00Z,62009.53623670,62059.81379668,61969.61510497,62019.88600187,364.33156872,36
2026-01-02T13:12:00Z,62019.88600187,62028.19243464,62015.66207832,62023.96823306,251.28501458,25
2026-01-02T13:13:00Z,62023.96823306,62030.94955544,61997.91549851,62004.89467400,113.60454786,11
2026-01-02T13:14:00Z,62004.89467400,62010.59174980,62002.60293157,62008.29988151,453.34406586,45
2026-01-02T13:15:00Z,62008.29988151,62024.28501399,61981.52657073,61997.50892141,78.01028603,7
2026-01-02T13:16:00Z,61997.50892141,62230.09850351,61928.59069055,62160.99853285,295.63885589,29
2026-01-02T13:17:00Z,62160.99853285,62249.31315340,61883.63495455,61971.68060353,447.96358377,44
2026-01-02T13:18:00Z,61971.68060353,62005.97000176,61875.42187769,61909.67696884,75.52068311,7
2026-01-02T13:19:00Z,61909.67696884,62115.41774476,61752.62800329,61958.24557313,268.61508030,26
2026-01-02T13:20:00Z,61958.24557313,62175.48001576,61940.59192291,62157.76951555,1103.79858291,110
2026-01-02T13:21:00Z,62157.76951555,62207.39551453,62044.81252721,62094.38792310,215.50254805,21
2026-01-02T13:22:00Z,62094.38792310,62142.94529429,62040.21447369,62088.76744970,112.12633076,11
2026-01-02T13:23:00Z,62088.76744970,62321.43209242,61797.81726251,62030.26267083,308.26907096,30
2026-01-02T13:24:00Z,62030.26267083,62104.94690731,62010.82674830,62085.49367926,53.24567810,5
2026-01-02T13:25:00Z,62085.49367926,62117.21677646,61834.14764288,61865.75846455,1060.60401518,106
2026-01-02T13:26:00Z,61865.75846455,61999.78224771,61714.72421580,61848.71106808,62.87789904,6
2026-01-02T13:27:00Z,61848.71106808,62145.11522755,61825.70545893,62122.00796128,574.21539333,57
2026-01-02T13:28:00Z,62122.00796128,62143.14762904,61892.68449500,61913.75329521,806.67374755,80
2026-01-02T13:29:00Z,61913.75329521,61951.11510049,61798.54541612,61835.86021689,364.17143386,36
2026-01-02T13:30:00Z,61835.86021689,62007.62786849,61752.08933239,61923.73793342,444.45822564,44
2026-01-02T13:31:00Z,61923.73793342,62049.95227402,61908.82402359,62035.01156469,68.74318950,6
2026-01-02T13:32:00Z,62035.01156469,62047.44519907,61760.38268568,61772.76375791,746.39476917,74
2026-01-02T13:33:00Z,61772.76375791,61944.89117173,61718.28864786,61890.31239989,74.27836438,7
2026-01-02T13:34:00Z,61890.31239989,61963.70271220,61729.03747895,61802.32345286,676.89852153,67
2026-01-02T13:35:00Z,61802.32345286,62043.60645256,61700.52136304,61941.57498468,659.23044874,65
2026-01-02T13:36:00Z,61941.57498468,61947.75753444,61874.94582849,61881.12234431,541.27047157,54
2026-01-02T13:37:00Z,61881.12234431,61948.51600813,61784.75246026,61852.11453216,148.53562481,14
2026-01-02T13:38:00Z,61852.11453216,61913.43188417,61713.70529886,61774.94614967,613.62851293,61
2026-01-02T13:39:00Z,61774.94614967,62109.78999861,61701.99311509,62036.52804925,974.50385805,97
2026-01-02T13:40:00Z,62036.52804925,62158.05882064,62014.75900663,62136.25478322,141.93963595,14
2026-01-02T13:41:00Z,62136.25478322,62222.00506991,62087.82053983,62173.54176189,53.52282852,5
2026-01-02T13:42:00Z,62173.54176189,62336.05008059,61932.36878751,62094.67095482,546.95011940,54
2026-01-02T13:43:00Z,62094.67095482,62148.55562088,62055.82178110,62109.69704617,229.85063801,22
2026-01-02T13:44:00Z,62109.69704617,62179.64981536,62073.16261367,62143.09573694,143.43420537,14
2026-01-02T13:45:00Z,62143.09573694,62229.05294102,62102.28141667,62188.20899128,12.15001403,1
2026-01-02T13:46:00Z,62188.20899128,62221.91558016,62168.71978115,62202.42191584,102.17215283,10
2026-01-02T13:47:00Z,62202.42191584,62482.59753748,62161.70043713,62441.71940012,752.43596076,75
2026-01-02T13:48:00Z,62441.71940012,62600.02206197,62342.64278073,62500.85161716,33.90868671,3
2026-01-02T13:49:00Z,62500.85161716,62668.99294684,62492.62036281,62660.74063538,413.66522131,41
2026-01-02T13:50:00Z,62660.74063538,62872.41684124,62625.30082615,62836.87741216,200.48249608,20
2026-01-02T13:51:00Z,62836.87741216,62847.41931487,62713.68980772,62724.21280912,339.01564987,33
2026-01-02T13:52:00Z,62724.21280912,62748.96383935,62652.12029542,62676.85263728,723.34671773,72
2026-01-02T13:53:00Z,62676.85263728,62797.06582399,62346.90032432,62466.71046174,272.32299263,27
2026-01-02T13:54:00Z,62466.71046174,62640.64939348,62444.02986170,62617.91389404,135.01133497,13
2026-01-02T13:55:00Z,62617.91389404,62746.33855135,62428.23873930,62556.53751824,648.58992740,64
2026-01-02T13:56:00Z,62556.53751824,62768.58765338,62432.07606125,62643.95227743,311.39857828,31
2026-01-02T13:57:00Z,62643.95227743,62763.71362005,62601.26989026,62720.97875097,382.21568428,38
2026-01-02T13:58:00Z,62720.97875097,62792.84449042,62660.66527014,62732.51991142,610.30809271,61
2026-01-02T13:59:00Z,62732.51991142,62862.55252765,62691.91742623,62821.89219787,440.94522202,44
2026-01-02T14:00:00Z,62821.89219787,62892.89245263,62402.56839035,62473.17453022,423.61446778,42
2026-01-02T14:01:00Z,62473.17453022,62543.63332275,62441.38683130,62511.82595715,801.29369540,80
2026-01-02T14:02:00Z,62511.82595715,62552.26163494,62465.79001075,62506.22206367,472.39105275,47
2026-01-02T14:03:00Z,62506.22206367,62507.67207456,62458.80279512,62460.25173959,318.36425273,31
2026-01-02T14:04:00Z,62460.25173959,62516.66741811,62422.70422970,62479.10857258,125.26491310,12
2026-01-02T14:05:00Z,62479.10857258,62484.44437983,62397.62620547,62402.95550915,352.90008859,35
2026-01-02T14:06:00Z,62402.95550915,62455.69584305,62319.93788734,62372.65261052,742.57350861,74
2026-01-02T14:07:00Z,62372.65261052,62438.39364463,62356.13945100,62421.86745549,95.56094711,9
2026-01-02T14:08:00Z,62421.86745549,62429.21943516,62364.26016075,62371.60622070,408.25676370,40
2026-01-02T14:09:00Z,62371.60622070,62442.66501500,62368.26880000,62439.32397081,831.05719689,83
2026-01-02T14:10:00Z,62439.32397081,62528.42595033,62419.03071723,62508.11034066,240.58099723,24
2026-01-02T14:11:00Z,62508.11034066,62510.61842863,62462.08228730,62464.58862901,410.50131315,41
2026-01-02T14:12:00Z,62464.58862901,62470.87912114,62449.46944383,62455.75904678,41.24854138,4
2026-01-02T14:13:00Z,62455.75904678,62528.62841625,62440.07773457,62512.93274894,726.92067559,72
2026-01-02T14:14:00Z,62512.93274894,62556.11466972,62449.85596789,62493.02413645,1058.18095396,105
2026-01-02T14:15:00Z,62493.02413645,62580.95335072,62398.02189027,62485.94113860,301.05481121,30
2026-01-02T14:16:00Z,62485.94113860,62579.50572864,62452.05511120,62545.58735520,923.41158586,92
2026-01-02T14:17:00Z,62545.58735520,62572.79742936,62523.51800785,62550.72626874,179.10498004,17
2026-01-02T14:18:00Z,62550.72626874,62561.97923109,62547.85019916,62559.10277635,310.86274183,31
2026-01-02T14:19:00Z,62559.10277635,62622.98707251,62476.95198451,62540.81760816,490.95242086,49
2026-01-02T14:20:00Z,62540.81760816,62610.47899679,62533.12277305,62602.77653843,155.64403605,15
2026-01-02T14:21:00Z,62602.77653843,62625.47087289,62593.66243747,62616.35479512,430.15379866,43
2026-01-02T14:22:00Z,62616.35479512,62634.64339056,62608.74561292,62627.03291075,103.20030242,10
